"transaction_id","items"
"536365","21730,22752,71053,84029E,84029G,84406B,85123A"
"536366","22632,22633"
"536367","21754,21755,21777,22310,22622,22623,22745,22748,22749,48187,84879,84969"
"536368","22912,22913,22914,22960"
"536369","21756"
"536370","10002,21035,21724,21731,21791,21883,21913,22326,22492,22540,22544,22629,22631,22659,22661,22726,22727,22728,22900,POST"
"536371","22086"
"536372","22632,22633"
"536373","20679,21068,21071,21730,21871,22752,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536374","21258"
"536375","20679,21068,21071,21730,21871,22752,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536376","21733,22114"
"536377","22632,22633"
"536378","20723,20725,21033,21094,21212,21559,21929,21931,21975,21977,22352,22386,84519A,84991,84997B,84997C,85071B,85099C,85183B"
"536380","22961"
"536381","15056BL,15056N,21166,21169,21175,21523,21533,21557,21672,21731,21934,22083,22086,22139,22176,22261,22262,22411,22438,22637,22644,22646,22719,22771,22774,22778,37444A,37444C,47580,71270,71270,82567,84832,84854,84971S"
"536382","10002,21832,21912,22379,22381,22411,22726,22783,22798,22838,22839,22926"
"536384","21324,21340,22189,22224,22424,22427,22428,22457,22464,22469,22470,82484,84755"
"536385","22168,22662,22663,22783,22960,22961,85049A"
"536386","84880,85099B,85099C"
"536387","21731,22466,22779,22780,79321"
"536388","21115,21363,21411,21523,21754,21755,22242,22318,22464,22469,22915,22922,22923,22969"
"536389","21622,21791,22191,22192,22193,22195,22196,22726,22727,22941,35004C,35004G,85014A,85014B"
"536390","20668,21080,21086,21094,21485,21533,21786,22174,22197,22198,22654,22910,22941,22960,22961,22962,22963,22968,22969,84029G,84030E,84970S,85099B,85123A"
"536392","21889,21891,22127,22128,22150,22338,22502,22619,22827,84879"
"536393","22180"
"536394","21485,21506,22349,22558,22632,22633,22652,22865,22866,85123A,85152"
"536395","21212,21314,21484,21977,22114,22188,22726,22727,22729,22730,22866,22867,84879,84991"
"536396","15056BL,20679,21068,21071,21730,21871,22752,22803,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536397","35004B,35004C"
"536398","21232,21479,21844,21980,22064,22111,22112,22114,22449,22468,22632,22637,22752,22835,22865,22866,48185"
"536399","22632,22633"
"536400","22969"
"536401","17091A,20725,20726,20749,20820,20961,20963,20966,20992,21033,21108,21122,21169,21328,21463,21464,21587,21592,21743,21744,21907,22068,22098,22100,22110,22117,22382,22384,22413,22428,22435,22441,22451,22467,22473,22502,22549,22662,22766,22767,22768,22804,22809,22810,22848,22851,22961,47570B,48129,82483,82578,82580,82581,84030E,84509A,84510A,84625A,84625C,84709B,84744,84991,85049E,85123A,85150"
"536402","22086,22837,22910"
"536403","22867,POST"
"536404","20727,20728,21061,21062,21063,21125,21126,21212,21213,21975,22197,22296,22297,22383,22417,22469,22771,22772,22773,22805,22964,84378,84380,84992,85049C,85049D,85049E,85049G"
"536405","20914"
"536406","20679,21068,21071,21730,21871,22752,22803,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536407","22632,22633"
"536408","16237,20685,20982,21210,21212,21479,21544,21587,21705,21733,21754,21755,21832,21914,21915,22114,22178,22219,22371,22418,22465,22488,22492,22533,22537,22553,22610,22619,22620,22706,22714,22716,22736,22766,22812,22813,22914,22964,48194,84029E,84347,84375,84879,84949,84970L,84997B,85014A,85014B"
"536409","16238,20668,20669,20713,20717,20723,20966,21065,21116,21326,21479,21609,21676,21678,21811,21823,21824,21866,21866,21867,21931,21955,21980,22074,22075,22109,22111,22111,22112,22153,22183,22197,22198,22531,22568,22633,22664,22785,22866,22866,22900,22900,22972,22975,72802C,84625A,84625C,84906,85099B,85099F,85116,85116,85169B,90129F,90199C,90199C,90199C,90210B"
"536412","20725,20727,20728,20750,21034,21242,21243,21244,21245,21448,21448,21448,21448,21448,21706,21706,21708,21708,21710,21711,21731,21738,21738,21738,21739,21880,22077,22077,22077,22086,22141,22141,22144,22144,22179,22197,22242,22243,22243,22243,22271,22273,22273,22273,22274,22326,22327,22327,22328,22382,22383,22468,22568,22569,22569,22570,22629,22630,22652,22662,22749,22749,22749,22751,22759,22759,22837,22900,22900,22902,22902,22940,22940,22961,22968,22988,85049E,85049E,85049E,85184C,85184C"
"536414","22139"
